path,component_family,disposition,successor_hint,inverse_evidence,provisional_gap
./docs/assets/js/main.js,silmaril/site/jekyll-scaffold,retire,forge/base_templates HEEx site renderer (JUNGLE_MAP CI: site Will be rebuilt as GeoSPARQL-driven generation),hand-authored Jekyll apparatus superseded by the GeoSPARQL/base_templates render mechanism (PLAN_FREEZE Ruling B zero hand-authored HTML; Workflow 3); bytes recoverable from git history until the successor renderer is proven,
./docs/folklore.html,silmaril/site/generated-artifact,retire,GeoSPARQL fable render; fable content dissolved-and-absorbed per PLAN_FREEZE Ruling 3,regenerated byte-identical by the GeoSPARQL/render pipeline from basicttl ontology (JUNGLE_MAP: generated.css/build-status.html are generated; CI site + ui-constructor jobs regenerate-and-compare); STRICTNESS Rule 10 removes-from-branch,
./docs/index.html,silmaril/site/generated-artifact,retire,GeoSPARQL-driven site render (forge/base_templates HEEx),regenerated byte-identical by the GeoSPARQL/render pipeline from basicttl ontology (JUNGLE_MAP: generated.css/build-status.html are generated; CI site + ui-constructor jobs regenerate-and-compare); STRICTNESS Rule 10 removes-from-branch,
./docs/pr2-review-addendum.md,silmaril/docs/working-notes,reuse,,,
./docs/pr2-socratic-followup.md,silmaril/docs/working-notes,reuse,,,
./docs/praeriehund-demokratie-der-kategorien.md,silmaril/docs/doctrine,reuse,,,
./docs/provenance.html,silmaril/site/generated-artifact,retire,GeoSPARQL-driven site render (forge/base_templates HEEx),regenerated byte-identical by the GeoSPARQL/render pipeline from basicttl ontology (JUNGLE_MAP: generated.css/build-status.html are generated; CI site + ui-constructor jobs regenerate-and-compare); STRICTNESS Rule 10 removes-from-branch,
./docs/superpowers/plans/2026-08-07-w1-completion.md,silmaril/docs/working-notes,reuse,,,
./docs/unary-byte-frame-law.md,silmaril/docs/doctrine,reuse,,,
./hooks/README.md,silmaril/hooks/readme,reuse,,,
./hooks/pre-commit,silmaril/hooks/git-hook,migrate,unary-conformant shell launcher form (STRICTNESS Rule 2; unary-byte-frame-law Bash frontier),,
./hooks/pre-push,silmaril/hooks/git-hook,migrate,unary-conformant shell launcher form (STRICTNESS Rule 2; unary-byte-frame-law Bash frontier),,
./hooks/remote-update,silmaril/hooks/git-hook,migrate,unary-conformant shell launcher form (STRICTNESS Rule 2; unary-byte-frame-law Bash frontier),,
./keys/README.md,silmaril/keys/pgp-trust-root,reuse,,,
./keys/claude.asc,silmaril/keys/pgp-trust-root,reuse,,,
./keys/github-web-flow.asc,silmaril/keys/pgp-trust-root,reuse,,,
./keys/herodotus.asc,silmaril/keys/pgp-trust-root,reuse,,,
./keys/trust-manifest.txt,silmaril/keys/generated-manifest,retire,morphism/provenance trust-manifest render,derived byte-identical from basicttl/commit_signing_trust.ttl by the provenance/trust pipeline (JUNGLE_MAP: trust manifest derived from commit_signing_trust.ttl; morphism/provenance/commit/keyring); CI provenance job regenerates-and-checks; STRICTNESS Rule 10 removes-from-branch,
./ledger/W1/W1_VERIFICATION.md,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/account/GENERATOR.sh,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/account/forge.csv,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/account/silmaril.csv,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/account/symlinks.tsv,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/base_agents.md,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/base_foundations.md,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/base_templates.md,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/checks/account-check.sh,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/checks/census-check.sh,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/checks/coverage.sh,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/checks/tree-disk-check.sh,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/component_account.md,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/corpus_v17.md,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/manifests/base_templates.manifest,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/manifests/base_tower.manifest,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/sparky_substrate.md,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/taxonomy_census.md,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/trees/base_agents.tree,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/trees/base_templates.tree,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/trees/base_tower.tree,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/trees/basicttl.tree,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/trees/example_gippidy_01.tree,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/trees/silmaril.tree,silmaril/ledger/audit-record,reuse,,,
./ledger/W1/trees/superpowers.tree,silmaril/ledger/audit-record,reuse,,,
./ledger/W2/design_constraints.md,silmaril/ledger/audit-record,reuse,,,
./ontology/README.md,silmaril/ontology-dir/readme,reuse,,,
./ontology/geosparql.sparql,silmaril/ontology-dir/generated-artifact,retire,morphism/ontology/consolidation render outputs (consolidated/render; manifest/render; shapes/constraint; query/protocol; geographic/query),regenerated byte-identical by morphism/ontology/consolidation from basicttl/*.ttl source; CI ontology job regenerate-and-compare committed consolidated TTL IS the byte-complete inverse check (JUNGLE_MAP; STRICTNESS Rule 10; PLAN_FREEZE Workflow 3.1),
./ontology/manifest.ttl,silmaril/ontology-dir/generated-artifact,retire,morphism/ontology/consolidation render outputs (consolidated/render; manifest/render; shapes/constraint; query/protocol; geographic/query),regenerated byte-identical by morphism/ontology/consolidation from basicttl/*.ttl source; CI ontology job regenerate-and-compare committed consolidated TTL IS the byte-complete inverse check (JUNGLE_MAP; STRICTNESS Rule 10; PLAN_FREEZE Workflow 3.1),
./ontology/queries.sparql,silmaril/ontology-dir/generated-artifact,retire,morphism/ontology/consolidation render outputs (consolidated/render; manifest/render; shapes/constraint; query/protocol; geographic/query),regenerated byte-identical by morphism/ontology/consolidation from basicttl/*.ttl source; CI ontology job regenerate-and-compare committed consolidated TTL IS the byte-complete inverse check (JUNGLE_MAP; STRICTNESS Rule 10; PLAN_FREEZE Workflow 3.1),
./ontology/shapes.ttl,silmaril/ontology-dir/generated-artifact,retire,morphism/ontology/consolidation render outputs (consolidated/render; manifest/render; shapes/constraint; query/protocol; geographic/query),regenerated byte-identical by morphism/ontology/consolidation from basicttl/*.ttl source; CI ontology job regenerate-and-compare committed consolidated TTL IS the byte-complete inverse check (JUNGLE_MAP; STRICTNESS Rule 10; PLAN_FREEZE Workflow 3.1),
./ontology/silmaril-consolidated.ttl,silmaril/ontology-dir/generated-artifact,retire,morphism/ontology/consolidation render outputs (consolidated/render; manifest/render; shapes/constraint; query/protocol; geographic/query),regenerated byte-identical by morphism/ontology/consolidation from basicttl/*.ttl source; CI ontology job regenerate-and-compare committed consolidated TTL IS the byte-complete inverse check (JUNGLE_MAP; STRICTNESS Rule 10; PLAN_FREEZE Workflow 3.1),
./ontology/ui-shapes.ttl,silmaril/ontology-dir/orphaned-generated,retire,morphism/ontology consolidation render (ui-shapes step to be established),under the ontology/ generated block (JUNGLE_MAP) but flagged ORPHANED nothing-consumes-it: consumer closure trivially empty; the render step producing ui-shapes.ttl is NOT yet evidenced and MUST exist before deletion (Praeriehund no-delete-without-inverse),
./scripts/bootstrap-sdkman.sh,silmaril/shell/top-level-violator,migrate,unary source/discipline/gate/shell launchers (sparky_substrate.md 3.3; STRICTNESS Rule 2),,
./scripts/ci.sh,silmaril/shell/top-level-violator,migrate,unary source/discipline/gate/shell launchers (sparky_substrate.md 3.3; STRICTNESS Rule 2),,
./scripts/clone-reference-repos.sh,silmaril/shell/top-level-violator,migrate,unary source/discipline/gate/shell launchers (sparky_substrate.md 3.3; STRICTNESS Rule 2),,
./scripts/init-fake-remote.sh,silmaril/shell/top-level-violator,migrate,unary source/discipline/gate/shell launchers (sparky_substrate.md 3.3; STRICTNESS Rule 2),,
./scripts/inspect-local-agents.sh,silmaril/shell/top-level-violator,migrate,unary source/discipline/gate/shell launchers (sparky_substrate.md 3.3; STRICTNESS Rule 2),,
./scripts/install-git-hook.sh,silmaril/shell/top-level-violator,migrate,unary source/discipline/gate/shell launchers (sparky_substrate.md 3.3; STRICTNESS Rule 2),,
./scripts/migrate-situational-awareness-to-codex.sh,silmaril/shell/top-level-violator,migrate,unary source/discipline/gate/shell launchers (sparky_substrate.md 3.3; STRICTNESS Rule 2),,
./scripts/ontology-depth-check.py,silmaril/scripts/depth-check,migrate,sparky/morphism/ontology/validation/depth family (sparky_substrate.md 3.2; JUNGLE_MAP: plan makes it blocking),,
./scripts/package-sparky.sh,silmaril/shell/top-level-violator,migrate,unary source/discipline/gate/shell launchers (sparky_substrate.md 3.3; STRICTNESS Rule 2),,
./scripts/python/morphism_contracts/__init__.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/application.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/configuration.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/contract/__init__.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/contract/bundle.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/contract/validation.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/digest/__init__.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/digest/policy.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/json/__init__.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/json/document.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/law/__init__.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/law/anchor_gateway.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/law/atlas.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/law/common.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/law/lambda_projection.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/law/location_capture.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/law/runtime_shoes.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/law/scene.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/law/scene_contract.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/law/schema_lexicon.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/law/topology.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/mutation/__init__.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/mutation/operations.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/probe/__init__.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/probe/execution.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/probe/lambda_gateway.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/schema/__init__.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/schema/combinators.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/twin/__init__.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/morphism_contracts/twin/readback.py,silmaril/engine/outside-pylib-python,migrate,integrate into registered scripts/python/pylib tree (unary-byte-frame-law clause 14),,
./scripts/python/pylib/FILE_CAPTURE.md,silmaril/engine/live-receipts-config,reuse,,,
./scripts/python/pylib/INTEGRATION_AUDIT.md,silmaril/engine/live-receipts-config,reuse,,,
./scripts/python/pylib/LIVE_PROMOTION_RECEIPT.md,silmaril/engine/live-receipts-config,reuse,,,
./scripts/python/pylib/Makefile,silmaril/engine/live-receipts-config,reuse,,,
./scripts/python/pylib/federated-computing-substrate-routing.json,silmaril/engine/live-receipts-config,reuse,,,
./scripts/python/pylib/file-capture-manifest.json,silmaril/engine/live-receipts-config,reuse,,,
./scripts/python/pylib/make/lambda_blotto/directory.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/lambda_blotto/file.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/bindings.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/contract/install.paths,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/contract/inventory.csv,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/contract/projection/architecture.paths,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/contract/projection/body.paths,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/contract/projection/build_configuration_tasks.paths,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/contract/projection/native_gdb_verification.paths,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/contract/projection/operations_documentation.paths,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/contract/projection/phase14_26x4.paths,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/contract/projection/provenance_relations_gaps.paths,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/contract/projection/telephone_rings.paths,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/directory.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/generation.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/install.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/phase14_l1.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/readback.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/40/typed_rows.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/artifact_manifest.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/atlas/glossary/aggregate.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/base.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/inventory_catalog_claims.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/inventory_catalog_documents.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/inventory_catalog_gaps.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/inventory_catalog_quality_flags.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/inventory_catalogs.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/operation/artifact_hash.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/operation/directory.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/operation/file.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/operation/source_observation.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/operation/table_constructors.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/operation/table_public_apis.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/operation/table_telephone_topology.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/operation/verification_source_body.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/operation/verification_symlink_escape.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/phase14.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/phase14/evidence/shape.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/phase14/query/shape.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/projection.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/provenance_source_to_fragment.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/table/aggregate/directory.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/table/aggregate/file.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/table/aggregate/gdb_evidence.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/table/aggregate/ring_families.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/table/aggregate/shared_anchors.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/table/aggregate/shared_components.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/table/aggregate/source_files.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/table/evidence_rows_order.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/table/phase14.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/table/phase14/input/shape.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/table/source_files_locus.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/verification_process_coverage.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/codebase/volume/verification_table_header.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/contract/validation/core.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/contract/validation/directory.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/contract/validation/entry.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/contract/validation/file.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/contract/validation/mechanic.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/contract/validation/mechanic_frame.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/contract/validation/mutation.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/contract/validation/schema.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/ontology/consolidation.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/ontology/validation.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/provenance/commit.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/provenance/trust.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/resource/description/framework/turtle/document/subject/aggregation.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/morphism/specification/paper/atom/anchor/grounding/full/validation.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/make/quality/python.mk,silmaril/engine/build-and-verification,reuse,,,
./scripts/python/pylib/phoenix-disintegration-routing.json,silmaril/engine/live-receipts-config,reuse,,,
./scripts/python/pylib/reference/pylib/reference/bootstrap.py,silmaril/engine/legacy-reference-copy,retire,live scripts/python/pylib/src (sparky+config) superset,byte-complete predecessor/successor account MUST be recorded before deletion (sparky_substrate.md 2.4 RETIRE candidate: blocked until inverse recorded; cannot delete on orphaned observation alone); consumer closure evidenced empty (2.3: zero import hits repo-wide excl reference itself); successor superset = live src/silmaril/sparky+config mirror,
./scripts/python/pylib/reference/pylib/reference/config/__init__.py,silmaril/engine/legacy-reference-copy,retire,live scripts/python/pylib/src (sparky+config) superset,byte-complete predecessor/successor account MUST be recorded before deletion (sparky_substrate.md 2.4 RETIRE candidate: blocked until inverse recorded; cannot delete on orphaned observation alone); consumer closure evidenced empty (2.3: zero import hits repo-wide excl reference itself); successor superset = live src/silmaril/sparky+config mirror,
./scripts/python/pylib/reference/pylib/reference/config/constants/__init__.py,silmaril/engine/legacy-reference-copy,retire,live scripts/python/pylib/src (sparky+config) superset,byte-complete predecessor/successor account MUST be recorded before deletion (sparky_substrate.md 2.4 RETIRE candidate: blocked until inverse recorded; cannot delete on orphaned observation alone); consumer closure evidenced empty (2.3: zero import hits repo-wide excl reference itself); successor superset = live src/silmaril/sparky+config mirror,
./scripts/python/pylib/reference/pylib/reference/config/constants/aob/__init__.py,silmaril/engine/legacy-reference-copy,retire,live scripts/python/pylib/src (sparky+config) superset,byte-complete predecessor/successor account MUST be recorded before deletion (sparky_substrate.md 2.4 RETIRE candidate: blocked until inverse recorded; cannot delete on orphaned observation alone); consumer closure evidenced empty (2.3: zero import hits repo-wide excl reference itself); successor superset = live src/silmaril/sparky+config mirror,
./scripts/python/pylib/reference/pylib/reference/config/constants/aob/layout/__init__.py,silmaril/engine/legacy-reference-aob-layout,provisional,,,aob/layout hyphenated projection constants (daedalus/icarus/ossie/yggdrasil): meaning unresolved; no live analogue found (sparky_substrate.md 2.4/5.5); Praeriehund name-the-gap
./scripts/python/pylib/reference/pylib/reference/config/constants/aob/layout/aob-directory-suffix/__init__.py,silmaril/engine/legacy-reference-aob-layout,provisional,,,aob/layout hyphenated projection constants (daedalus/icarus/ossie/yggdrasil): meaning unresolved; no live analogue found (sparky_substrate.md 2.4/5.5); Praeriehund name-the-gap
